Postavka;leto;zavarovalnica;Segment;Znesek;Segment_slo;Segment_ang;Segment_num;kratica
PREMIJA;2018;Sava;C0040;110811;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2018;Sava;C0050;100813;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2018;Sava;C0070;95443;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2018;Sava;C0080;20292;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2018;Sava;C0110;11510;Zavarovanje pomoči;assistance;8;ZP
CR;2018;Sava;C0040;0,877313624;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2018;Sava;C0050;1,004800968;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2018;Sava;C0070;1,030269375;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2018;Sava;C0080;0,451754386;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2018;Sava;C0110;1,097741095;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2018;Triglav;C0040;81012;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2018;Triglav;C0050;104151;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2018;Triglav;C0070;91679;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2018;Triglav;C0080;26007;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2018;Triglav;C0110;12073;Zavarovanje pomoči;assistance;8;ZP
CR;2018;Triglav;C0040;0,838172123;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2018;Triglav;C0050;0,955007633;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2018;Triglav;C0070;0,941360617;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2018;Triglav;C0080;0,173453301;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2018;Triglav;C0110;1,229934565;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2018;Generali;C0040;17707;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2018;Generali;C0050;18030;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2018;Generali;C0070;15457;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2018;Generali;C0080;2905;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2018;Generali;C0110;1936;Zavarovanje pomoči;assistance;8;ZP
CR;2018;Generali;C0040;0,787202801;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2018;Generali;C0050;1,163560732;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2018;Generali;C0070;0,942614996;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2018;Generali;C0080;0,627538726;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2018;Generali;C0110;0,976756198;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2018;Grawe;C0040;2992;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2018;Grawe;C0050;2488;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2018;Grawe;C0070;3051;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2018;Grawe;C0080;261;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2018;Grawe;C0110;488;Zavarovanje pomoči;assistance;8;ZP
CR;2018;Grawe;C0040;1,080882353;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2018;Grawe;C0050;1,58159164;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2018;Grawe;C0070;0,846279908;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2018;Grawe;C0080;0,394636015;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2018;Grawe;C0110;1,004098361;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2018;Sava Re;C0040;12775;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2018;Sava Re;C0050;16940;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2018;Sava Re;C0070;52191;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2018;Sava Re;C0080;5747;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2018;Sava Re;C0110;0;Zavarovanje pomoči;assistance;8;ZP
CR;2018;Sava Re;C0040;0,253072407;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2018;Sava Re;C0050;0,813754427;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2018;Sava Re;C0070;0,866126344;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2018;Sava Re;C0080;0,458848095;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2018;Sava Re;C0110;0;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2018;Triglav Re;C0040;8823;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2018;Triglav Re;C0050;4681;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2018;Triglav Re;C0070;45169;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2018;Triglav Re;C0080;1427;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2018;Triglav Re;C0110;662;Zavarovanje pomoči;assistance;8;ZP
CR;2018;Triglav Re;C0040;0,920888587;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2018;Triglav Re;C0050;1,124973296;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2018;Triglav Re;C0070;0,664703668;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2018;Triglav Re;C0080;-0,91730904;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2018;Triglav Re;C0110;1,080060423;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2019;Sava;C0040;125909;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2019;Sava;C0050;112447;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2019;Sava;C0070;97286;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2019;Sava;C0080;23096;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2019;Sava;C0110;16665;Zavarovanje pomoči;assistance;8;ZP
CR;2019;Sava;C0040;0,936914756;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2019;Sava;C0050;0,973898815;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2019;Sava;C0070;1,059361059;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2019;Sava;C0080;0,540006928;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2019;Sava;C0110;0,949414941;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2019;Triglav;C0040;86372;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2019;Triglav;C0050;112396;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
